Date,BTC-USD,ETH-USD,SPY,AAPL,GLD,TLT,TSLA
2018-07-12,,,247.3480987548828,45.009666442871094,118.12999725341797,97.5443344116211,21.11400032043457
2018-07-13,,,247.54287719726562,45.08034896850586,117.61000061035156,97.79132080078125,21.257999420166016
2018-07-16,,,247.32151794433594,44.98139572143555,117.55000305175781,97.38496398925781,20.67333221435547
2018-07-17,,,248.3219451904297,45.10862350463867,116.27999877929688,97.20167541503906,21.512666702270508
2018-07-18,,,248.84442138671875,44.861228942871094,116.30999755859375,96.81122589111328,21.59000015258789
2018-07-19,,,247.90586853027344,45.20994567871094,115.80999755859375,97.42481231689453,21.34866714477539
2018-07-20,,,247.62255859375,45.106266021728516,116.55999755859375,96.22947692871094,20.905332565307617
2018-07-23,,,248.08290100097656,45.14630889892578,116.0,95.04216766357422,20.213333129882812
2018-07-24,,,249.33128356933594,45.473819732666016,116.04000091552734,95.36888122558594,19.82866668701172
2018-07-25,,,251.45623779296875,45.90264129638672,116.68000030517578,95.21749114990234,20.582666397094727
2018-07-26,,,250.86306762695312,45.7589225769043,115.7699966430664,95.03419494628906,20.44333267211914
2018-07-27,,,249.16310119628906,44.997894287109375,115.83000183105469,95.19357299804688,19.812000274658203
2018-07-30,,,247.86160278320312,44.74577331542969,115.6500015258789,94.86685943603516,19.344667434692383
2018-07-31,,,249.08338928222656,44.835304260253906,115.98999786376953,95.38482666015625,19.875999450683594
2018-08-01,,,248.66725158691406,47.476566314697266,115.13999938964844,94.60777282714844,20.055999755859375
2018-08-02,,,250.02197265625,48.86433410644531,114.5199966430664,94.74351501464844,23.30266761779785
2018-08-03,,,251.0933380126953,49.00570297241211,114.91999816894531,95.21471405029297,23.211332321166992
2018-08-06,,,252.01412963867188,49.26016616821289,114.33000183105469,95.27066040039062,22.799333572387695
2018-08-07,,,252.8462677001953,48.79836654663086,114.58999633789062,94.77545166015625,25.30466651916504
2018-08-08,,,252.7400360107422,48.83135986328125,114.91000366210938,94.87130737304688,24.689332962036133
2018-08-09,,,252.39476013183594,49.21540451049805,114.73999786376953,95.66993713378906,23.496667861938477
2018-08-10,,,250.70372009277344,49.06880187988281,114.69000244140625,96.36477661132812,23.69933319091797
2018-08-13,,,249.76512145996094,49.38563537597656,112.95999908447266,96.16509246826172,23.76066780090332
